Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to runs/io43rumy\runs/io43rumy_0
[2K---------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m848/5,000,000 [0m [ [33m0:00:00[0m < [36m1:07:56[0m , [31m1,227 it/s[0m ]
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -282     |
| time/              |          |
|    fps             | 1168     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 1024     |
---------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m1,973/5,000,000 [0m [ [33m0:00:03[0m < [36m2:23:12[0m , [31m582 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -287        |
| time/                   |             |
|    fps                  | 592         |
|    iterations           | 2           |
|    time_elapsed         | 3           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.006636561 |
|    clip_fraction        | 0.0289      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.0118      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.161       |
|    n_updates            | 15          |
|    policy_gradient_loss | -0.0037     |
|    std                  | 0.99        |
|    value_loss           | 3.79        |
-----------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m3,033/5,000,000 [0m [ [33m0:00:06[0m < [36m2:57:05[0m , [31m470 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -266         |
| time/                   |              |
|    fps                  | 478          |
|    iterations           | 3            |
|    time_elapsed         | 6            |
|    total_timesteps      | 3072         |
| train/                  |              |
|    approx_kl            | 0.0057267523 |
|    clip_fraction        | 0.0243       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.22        |
|    explained_variance   | -0.272       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.125        |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00397     |
|    std                  | 0.986        |
|    value_loss           | 1.71         |
------------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m3,958/5,000,000 [0m [ [33m0:00:08[0m < [36m3:07:33[0m , [31m444 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -285        |
| time/                   |             |
|    fps                  | 457         |
|    iterations           | 4           |
|    time_elapsed         | 8           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.008685913 |
|    clip_fraction        | 0.0856      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.658       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0827      |
|    n_updates            | 45          |
|    policy_gradient_loss | -0.0128     |
|    std                  | 0.985       |
|    value_loss           | 0.731       |
-----------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m5,034/5,000,000 [0m [ [33m0:00:11[0m < [36m3:09:04[0m , [31m440 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -261         |
| time/                   |              |
|    fps                  | 447          |
|    iterations           | 5            |
|    time_elapsed         | 11           |
|    total_timesteps      | 5120         |
| train/                  |              |
|    approx_kl            | 0.0058598043 |
|    clip_fraction        | 0.0294       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.21        |
|    explained_variance   | -14.1        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0438       |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00301     |
|    std                  | 0.983        |
|    value_loss           | 1.77         |
------------------------------------------
[2K----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m6,027/5,000,000 [0m [ [33m0:00:13[0m < [36m3:09:10[0m , [31m440 it/s[0m ]
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -274       |
| time/                   |            |
|    fps                  | 447        |
|    iterations           | 6          |
|    time_elapsed         | 13         |
|    total_timesteps      | 6144       |
| train/                  |            |
|    approx_kl            | 0.00496911 |
|    clip_fraction        | 0.0333     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.2       |
|    explained_variance   | 0.182      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.149      |
|    n_updates            | 75         |
|    policy_gradient_loss | -0.00327   |
|    std                  | 0.981      |
|    value_loss           | 0.463      |
----------------------------------------
[2K----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m7,111/5,000,000 [0m [ [33m0:00:16[0m < [36m3:12:55[0m , [31m431 it/s[0m ]
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -280       |
| time/                   |            |
|    fps                  | 435        |
|    iterations           | 7          |
|    time_elapsed         | 16         |
|    total_timesteps      | 7168       |
| train/                  |            |
|    approx_kl            | 0.00567329 |
|    clip_fraction        | 0.0531     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.2       |
|    explained_variance   | -7.12      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.057      |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.00669   |
|    std                  | 0.98       |
|    value_loss           | 1.71       |
----------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m8,161/5,000,000 [0m [ [33m0:00:19[0m < [36m3:16:17[0m , [31m424 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -260         |
| time/                   |              |
|    fps                  | 426          |
|    iterations           | 8            |
|    time_elapsed         | 19           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0068345712 |
|    clip_fraction        | 0.0444       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.2         |
|    explained_variance   | -0.598       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.106        |
|    n_updates            | 105          |
|    policy_gradient_loss | -0.0042      |
|    std                  | 0.981        |
|    value_loss           | 1.13         |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m9,087/5,000,000 [0m [ [33m0:00:21[0m < [36m3:17:52[0m , [31m420 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -254         |
| time/                   |              |
|    fps                  | 425          |
|    iterations           | 9            |
|    time_elapsed         | 21           |
|    total_timesteps      | 9216         |
| train/                  |              |
|    approx_kl            | 0.0055882456 |
|    clip_fraction        | 0.024        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.21        |
|    explained_variance   | -0.726       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0967       |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00372     |
|    std                  | 0.99         |
|    value_loss           | 0.886        |
------------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m10,111/5,000,000 [0m [ [33m0:00:23[0m < [36m3:17:04[0m , [31m422 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -270        |
| time/                   |             |
|    fps                  | 426         |
|    iterations           | 10          |
|    time_elapsed         | 23          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.005318206 |
|    clip_fraction        | 0.0331      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | -2.49       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0138      |
|    n_updates            | 135         |
|    policy_gradient_loss | -0.00402    |
|    std                  | 1           |
|    value_loss           | 0.321       |
-----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m11,208/5,000,000 [0m [ [33m0:00:26[0m < [36m3:19:12[0m , [31m417 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -259        |
| time/                   |             |
|    fps                  | 419         |
|    iterations           | 11          |
|    time_elapsed         | 26          |
|    total_timesteps      | 11264       |
| train/                  |             |
|    approx_kl            | 0.003604372 |
|    clip_fraction        | 0.0343      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | -0.938      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.171       |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00257    |
|    std                  | 1.01        |
|    value_loss           | 1.93        |
-----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m12,270/5,000,000 [0m [ [33m0:00:30[0m < [36m3:26:21[0m , [31m403 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -258        |
| time/                   |             |
|    fps                  | 407         |
|    iterations           | 12          |
|    time_elapsed         | 30          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.006201269 |
|    clip_fraction        | 0.0548      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.29       |
|    explained_variance   | 0.489       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0129      |
|    n_updates            | 165         |
|    policy_gradient_loss | -0.00209    |
|    std                  | 1.01        |
|    value_loss           | 0.149       |
-----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m13,230/5,000,000 [0m [ [33m0:00:33[0m < [36m3:34:14[0m , [31m388 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -263        |
| time/                   |             |
|    fps                  | 394         |
|    iterations           | 13          |
|    time_elapsed         | 33          |
|    total_timesteps      | 13312       |
| train/                  |             |
|    approx_kl            | 0.007337154 |
|    clip_fraction        | 0.0438      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.29       |
|    explained_variance   | 0.733       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0156      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00539    |
|    std                  | 1.01        |
|    value_loss           | 0.173       |
-----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m14,264/5,000,000 [0m [ [33m0:00:36[0m < [36m3:36:45[0m , [31m383 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -269        |
| time/                   |             |
|    fps                  | 386         |
|    iterations           | 14          |
|    time_elapsed         | 37          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.010144826 |
|    clip_fraction        | 0.0626      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.29       |
|    explained_variance   | 0.803       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0118      |
|    n_updates            | 195         |
|    policy_gradient_loss | -0.00586    |
|    std                  | 1.02        |
|    value_loss           | 0.315       |
-----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m15,320/5,000,000 [0m [ [33m0:00:40[0m < [36m3:52:55[0m , [31m357 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -258        |
| time/                   |             |
|    fps                  | 375         |
|    iterations           | 15          |
|    time_elapsed         | 40          |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.011552246 |
|    clip_fraction        | 0.0862      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.3        |
|    explained_variance   | 0.815       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.12        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00581    |
|    std                  | 1.01        |
|    value_loss           | 0.479       |
-----------------------------------------
[2K----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m16,274/5,000,000 [0m [ [33m0:00:43[0m < [36m3:57:00[0m , [31m350 it/s[0m ]
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -254       |
| time/                   |            |
|    fps                  | 373        |
|    iterations           | 16         |
|    time_elapsed         | 43         |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.00898993 |
|    clip_fraction        | 0.108      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.28      |
|    explained_variance   | 0.91       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0475     |
|    n_updates            | 225        |
|    policy_gradient_loss | -0.00848   |
|    std                  | 1          |
|    value_loss           | 0.32       |
----------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m17,388/5,000,000 [0m [ [33m0:00:46[0m < [36m3:55:23[0m , [31m353 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -254         |
| time/                   |              |
|    fps                  | 372          |
|    iterations           | 17           |
|    time_elapsed         | 46           |
|    total_timesteps      | 17408        |
| train/                  |              |
|    approx_kl            | 0.0064365095 |
|    clip_fraction        | 0.0762       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.24        |
|    explained_variance   | 0.778        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0184       |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00737     |
|    std                  | 0.989        |
|    value_loss           | 0.066        |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m18,378/5,000,000 [0m [ [33m0:00:49[0m < [36m3:57:49[0m , [31m349 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -252         |
| time/                   |              |
|    fps                  | 372          |
|    iterations           | 18           |
|    time_elapsed         | 49           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0082628345 |
|    clip_fraction        | 0.0944       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.22        |
|    explained_variance   | 0.878        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.157        |
|    n_updates            | 255          |
|    policy_gradient_loss | -0.00991     |
|    std                  | 0.985        |
|    value_loss           | 0.447        |
------------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m19,330/5,000,000 [0m [ [33m0:00:52[0m < [36m4:01:14[0m , [31m344 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -253        |
| time/                   |             |
|    fps                  | 373         |
|    iterations           | 19          |
|    time_elapsed         | 52          |
|    total_timesteps      | 19456       |
| train/                  |             |
|    approx_kl            | 0.007053107 |
|    clip_fraction        | 0.0366      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | -3.6        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.189       |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00321    |
|    std                  | 0.987       |
|    value_loss           | 1           |
-----------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m20,346/5,000,000 [0m [ [33m0:00:54[0m < [36m4:00:25[0m , [31m345 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -248         |
| time/                   |              |
|    fps                  | 375          |
|    iterations           | 20           |
|    time_elapsed         | 54           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0069295773 |
|    clip_fraction        | 0.0326       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.22        |
|    explained_variance   | -0.935       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.049        |
|    n_updates            | 285          |
|    policy_gradient_loss | -0.00444     |
|    std                  | 0.986        |
|    value_loss           | 0.361        |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m21,387/5,000,000 [0m [ [33m0:00:56[0m < [36m3:53:39[0m , [31m355 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -249         |
| time/                   |              |
|    fps                  | 378          |
|    iterations           | 21           |
|    time_elapsed         | 56           |
|    total_timesteps      | 21504        |
| train/                  |              |
|    approx_kl            | 0.0050643813 |
|    clip_fraction        | 0.0471       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.21        |
|    explained_variance   | -0.241       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0383       |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00496     |
|    std                  | 0.987        |
|    value_loss           | 0.295        |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m22,453/5,000,000 [0m [ [33m0:00:59[0m < [36m3:52:01[0m , [31m358 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -243         |
| time/                   |              |
|    fps                  | 379          |
|    iterations           | 22           |
|    time_elapsed         | 59           |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0076490818 |
|    clip_fraction        | 0.0292       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.21        |
|    explained_variance   | -0.398       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0186       |
|    n_updates            | 315          |
|    policy_gradient_loss | -0.00597     |
|    std                  | 0.982        |
|    value_loss           | 0.382        |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m23,445/5,000,000 [0m [ [33m0:01:01[0m < [36m3:45:14[0m , [31m368 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -242         |
| time/                   |              |
|    fps                  | 379          |
|    iterations           | 23           |
|    time_elapsed         | 62           |
|    total_timesteps      | 23552        |
| train/                  |              |
|    approx_kl            | 0.0061803125 |
|    clip_fraction        | 0.0393       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.21        |
|    explained_variance   | -3.13        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0596       |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00348     |
|    std                  | 0.988        |
|    value_loss           | 0.296        |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m24,555/5,000,000 [0m [ [33m0:01:04[0m < [36m3:37:11[0m , [31m382 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -236         |
| time/                   |              |
|    fps                  | 380          |
|    iterations           | 24           |
